aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.762,-0.601,-0.1,21.118,-4.089,3.052,None,3
-0.773,-0.624,-0.08900000000000001,16.785,-2.258,-0.061,None,3
-0.7829999999999999,-0.628,-0.071,10.803,-0.5489999999999999,-3.357,None,3
-0.79,-0.597,-0.045,5.005,1.709,-5.981,None,3
-0.8029999999999999,-0.5670000000000001,-0.024,1.892,3.784,-7.812,None,3
-0.81,-0.54,0.001,0.061,5.92,-9.46,None,3
-0.82,-0.486,0.015,-2.6860000000000004,7.324,-10.559,None,3
-0.8340000000000001,-0.409,0.019,-1.953,8.85,-11.536,None,3
-0.8490000000000001,-0.332,0.018000000000000002,0.305,10.132,-11.414,None,3
-0.852,-0.267,0.006999999999999999,1.2819999999999998,11.169,-10.254,None,3
-0.861,-0.22,-0.016,0.4270000000000001,12.024,-8.789,None,3
-0.8740000000000001,-0.18,-0.045,-1.526,13.062,-6.897,None,3
-0.879,-0.132,-0.081,-3.357,14.709,-5.249,None,3
-0.8809999999999999,-0.078,-0.109,-6.165,16.907,-2.8080000000000003,None,3
-0.885,-0.021,-0.141,-9.216,19.714,0.122,None,3
-0.885,0.047,-0.16899999999999998,-10.437,23.132,3.357,None,3
-0.8859999999999999,0.109,-0.201,-11.23,27.1,7.141,None,3
-0.893,0.184,-0.223,-15.015,31.616,11.536,None,3
-0.8959999999999999,0.261,-0.217,-18.677,37.292,16.602,None,3
-0.878,0.34700000000000003,-0.182,-22.4,43.64,22.522,None,3
-0.857,0.433,-0.152,-24.475,49.438,29.358,None,3
-0.8420000000000001,0.523,-0.129,-25.208,54.993,37.292,None,3
-0.8190000000000001,0.614,-0.107,-26.428,60.486,45.776,None,3
-0.7929999999999999,0.701,-0.076,-31.799,65.247,55.481,None,3
-0.758,0.787,-0.053,-37.781,69.763,66.101,None,3
-0.72,0.873,-0.031,-44.18899999999999,74.036,77.454,None,3
-0.67,0.94,-0.018000000000000002,-49.86600000000001,78.125,90.088,None,3
-0.625,1.006,-0.009000000000000001,-54.26,81.97,103.333,None,3
-0.5429999999999999,1.044,-0.028,-57.922,86.12100000000002,117.493,None,3
-0.458,1.069,-0.031,-63.904,90.332,132.629,None,3
-0.371,1.088,-0.041,-69.641,95.459,148.437,None,3
-0.274,1.086,-0.022,-75.928,102.051,165.03900000000004,None,3
-0.14400000000000002,1.056,0.049,-86.48700000000002,110.107,182.983,None,3
0.027000000000000003,1.005,0.165,-95.703,118.469,200.562,None,3
0.201,0.88,0.245,-99.121,125.61,218.506,None,3
0.366,0.774,0.285,-103.516,131.409,234.07,None,3
0.505,0.687,0.28600000000000003,-112.793,136.78,247.07,None,3
0.625,0.614,0.298,-119.019,143.25,259.216,None,3
0.78,0.461,0.34600000000000003,-118.53,152.405,271.423,None,3
0.948,0.249,0.471,-120.911,162.842,282.898,3beats_2,3
1.065,0.05,0.645,-116.516,173.157,290.344,None,3
1.182,-0.16699999999999998,0.848,-100.83,181.824,294.556,None,3
1.26,-0.421,1.046,-93.506,185.608,296.326,None,3
1.244,-0.664,1.277,-91.125,185.303,295.105,None,3
1.255,-0.942,1.571,-80.933,184.509,290.894,None,3
1.258,-1.227,1.871,-62.805,179.565,284.119,None,3
1.19,-1.489,1.979,-36.926,165.71,273.621,None,3
1.092,-1.789,1.932,-5.432,146.484,260.86400000000003,None,3
1.014,-2.119,1.857,17.151,127.319,246.521,None,3
0.939,-2.366,1.803,33.447,108.215,227.173,None,3
0.875,-2.525,1.79,36.377,90.149,204.529,None,3
0.7959999999999999,-2.61,1.769,23.743,73.547,180.786,None,3
0.728,-2.5540000000000003,1.74,4.333,58.838,156.128,None,3
0.6629999999999999,-2.461,1.705,-12.755999999999998,43.945,132.507,None,3
0.61,-2.324,1.645,-25.146,30.396,111.023,None,3
0.561,-2.208,1.577,-34.424,17.517,91.553,None,3
0.507,-2.105,1.4980000000000002,-42.114,6.165,74.28,None,3
0.47,-1.989,1.4240000000000002,-43.64,-2.075,57.312,None,3
0.451,-1.868,1.367,-43.945,-7.5070000000000014,42.175,None,3
0.431,-1.69,1.317,-46.387,-12.268,28.381,None,3
0.407,-1.511,1.285,-46.448,-16.968,16.602,None,3
0.397,-1.39,1.263,-47.913,-21.362,8.24,None,3
0.3670000000000001,-1.26,1.2,-48.157,-25.452,1.77,None,3
0.335,-1.165,1.154,-44.006,-28.87,-3.845,None,3
0.321,-1.114,1.118,-38.879,-30.457,-6.5310000000000015,None,3
0.293,-1.0659999999999998,1.07,-33.691,-32.166,-9.216,None,3
0.272,-1.042,1.025,-29.48,-34.18,-12.085,None,3
0.254,-1.024,0.964,-28.748,-35.583,-14.282,None,3
0.22,-0.975,0.9,-28.076,-36.743,-17.212,None,3
0.184,-0.943,0.858,-24.963,-36.804,-19.714,None,3
0.173,-0.923,0.84,-20.142,-35.095,-21.484,None,3
0.17,-0.907,0.82,-15.503,-33.813,-23.071,None,3
0.16399999999999998,-0.885,0.797,-11.23,-33.691,-25.208,None,3
0.16,-0.858,0.789,-8.484,-33.081,-27.527,None,3
0.154,-0.81,0.7929999999999999,-7.629,-32.654,-29.297,None,3
0.153,-0.769,0.7979999999999999,-6.226,-32.41,-30.884,None,3
0.149,-0.7340000000000001,0.8,-5.432,-32.166,-31.311,None,3
0.152,-0.743,0.7829999999999999,-4.7,-32.654,-31.128,None,3
0.156,-0.769,0.746,-3.235,-33.142,-31.006,None,3
0.158,-0.818,0.7090000000000001,-2.014,-32.898,-31.433000000000003,None,3
0.165,-0.8690000000000001,0.691,-0.7929999999999999,-31.494,-32.41,None,3
0.17600000000000002,-0.915,0.654,0.305,-30.151,-34.485,None,3
0.174,-0.981,0.596,1.526,-29.175,-36.987,None,3
0.185,-1.037,0.5379999999999999,1.953,-27.344,-40.71,None,3
0.196,-1.058,0.486,-0.183,-24.414,-45.532,None,3
0.202,-1.065,0.436,-4.089,-21.606,-50.842,None,3
0.221,-1.06,0.399,-10.559,-18.188,-56.091,None,3
0.211,-1.017,0.364,-19.165,-14.648,-61.584,None,3
0.209,-0.982,0.341,-25.391,-10.986,-66.04,None,3
0.205,-0.945,0.316,-27.527,-6.714,-69.641,None,3
0.208,-0.927,0.29100000000000004,-25.452,-2.136,-72.75399999999998,None,3
0.217,-0.933,0.271,-21.545,3.906,-75.439,None,3
0.235,-0.933,0.243,-15.625,10.071,-78.003,None,3
0.256,-0.957,0.185,-9.033,16.052,-80.994,None,3
0.264,-1.0,0.111,-3.2960000000000003,22.461,-83.92299999999999,None,3
