aX,aY,aZ,gX,gY,gZ,label
0.209,-0.36,0.163,-13.55,22.522,-62.13399999999999,None
0.211,-0.349,0.109,-11.047,26.855,-62.012,None
0.21600000000000005,-0.402,0.021,-6.287000000000001,38.33,-60.486,None
0.238,-0.443,-0.004,-3.235,45.959,-60.486,None
0.384,-0.487,0.023,-6.714,63.232,-62.988,None
0.239,-0.555,0.1,-16.174,80.017,-65.67399999999999,None
0.389,-0.594,0.211,-12.634,91.248,-67.444,None
0.444,-0.625,0.429,-9.46,106.384,-74.707,None
0.496,-0.606,0.519,-8.484,111.084,-78.186,None
0.542,-0.552,0.7659999999999999,0.305,119.202,-84.412,None
0.563,-0.534,0.96,2.747,124.023,-86.54799999999999,None
0.619,-0.484,1.338,-2.93,127.197,-90.82,None
0.624,-0.394,1.52,-13.245,118.652,-94.971,None
0.628,-0.194,1.906,-26.917,112.305,-94.727,None
0.57,-0.015,2.309,-34.607,94.482,-91.003,None
0.551,0.059,2.449,-35.217,81.726,-87.95200000000001,None
0.482,0.161,2.653,-28.198,51.575,-78.796,None
0.431,0.179,2.712,-24.658,35.278,-73.12,None
0.374,0.14400000000000002,2.639,-13.916,-0.366,-60.547,None
0.35100000000000003,0.075,2.512,-7.324,-17.395,-54.199,None
0.32299999999999995,-0.101,2.171,2.197,-47.54600000000001,-44.312,None
0.313,-0.162,1.968,7.4460000000000015,-70.068,-39.001,None
0.272,-0.284,1.473,18.372,-78.125,-37.415,None
0.244,-0.433,1.051,30.029,-82.458,-36.377,None
0.219,-0.5,0.897,32.471,-80.566,-37.354,None
0.174,-0.563,0.623,31.982,-73.36399999999998,-42.542,None
0.15,-0.5429999999999999,0.526,25.94,-68.115,-46.265,None
-0.026,-0.381,0.504,7.874,-54.44300000000001,-53.65,None
0.014,-0.344,0.483,4.456,-50.537,-54.81,None
-0.003,-0.122,0.488,-0.7929999999999999,-40.1,-57.617,None
-0.032,0.084,0.471,-7.08,-34.424,-54.932,None
-0.057,0.175,0.445,-7.874,-32.104,-51.758,None
-0.099,0.324,0.397,-6.165,-26.672,-42.847,None
-0.122,0.39,0.362,-2.563,-23.682,-37.537,None
-0.136,0.446,0.354,10.132,-14.771,-25.269,None
-0.139,0.456,0.377,13.916,-10.132,-19.226,None
-0.157,0.4970000000000001,0.45,13.611,-3.174,-7.019,None
-0.15,0.515,0.483,12.024,0.8540000000000001,6.042000000000002,None
-0.132,0.505,0.551,10.986,2.563,13.611,None
-0.123,0.466,0.618,10.925,5.188,21.545,None
-0.095,0.328,0.815,12.755999999999998,10.071,37.17,None
-0.077,0.22,0.991,17.09,12.939,44.312,None
-0.016,-0.075,1.3090000000000002,24.719,12.146,56.76300000000001,None
0.014,-0.234,1.398,26.672,7.263,60.913,None
0.037000000000000005,-0.515,1.567,32.593,-2.625,63.721,None
0.039,-0.63,1.689,30.579,-5.797999999999999,62.988,None
0.07,-0.847,2.014,19.287,-13.672,59.692,None
0.08199999999999999,-0.945,2.149,11.169,-20.996,56.94600000000001,None
0.12,-1.065,2.4330000000000003,-11.658,-40.039,49.927,None
0.18,-1.081,2.579,-21.606,-51.941,46.143,None
0.239,-1.228,2.608,-13.428,-79.468,37.476,None
0.245,-1.239,2.573,10.498,-106.201,24.536,None
0.269,-1.149,2.315,20.63,-119.08,18.127,None
0.302,-0.988,1.898,28.442,-141.235,7.202000000000001,3beats_3
0.315,-0.935,1.6840000000000002,29.114,-149.78,3.967,None
0.339,-0.86,1.209,28.076,-162.35399999999996,-1.404,None
0.315,-0.7909999999999999,1.0,28.503,-165.894,-4.272,None
0.369,-0.687,0.542,28.87,-168.274,-7.385,None
0.243,-0.599,0.401,22.217,-165.03900000000004,-10.498,None
0.19,-0.5479999999999999,-0.018000000000000002,28.381,-159.97299999999996,-10.986,None
0.117,-0.467,-0.341,36.926,-143.494,-14.282,None
0.104,-0.397,-0.461,39.49,-133.911,-15.686,None
-0.032,-0.205,-0.662,48.462,-112.0,-16.785,None
-0.203,-0.081,-0.6609999999999999,53.71100000000001,-98.694,-15.747,None
-0.14300000000000002,0.051,-0.878,45.959,-73.486,-11.78,None
-0.188,0.127,-0.883,38.391,-57.983,-8.179,None
-0.21,0.172,-0.636,39.734,-25.452,1.953,None
-0.207,0.147,-0.448,41.504,-1.404,13.0,None
-0.188,0.126,-0.202,36.377,4.395,17.334,None
-0.184,0.125,-0.057,22.644,11.108,25.635,None
-0.162,0.075,0.021,19.592,14.099,29.541,None
-0.133,-0.041,0.209,20.691,18.188,34.302,None
-0.119,-0.085,0.25,17.883,18.616,34.973,None
-0.099,-0.039,0.206,-3.906,16.113,34.851,None
-0.097,0.026,0.166,-17.517,15.442,34.851,None
-0.08,0.165,0.092,-34.546,18.921,36.682,None
