aX,aY,aZ,gX,gY,gZ,
-0.765,0.145,0.582,21.851,17.7,5.371,
-0.767,0.109,0.578,18.982,16.907,4.15,
-0.76,0.097,0.624,7.08,15.442,2.93,
-0.749,0.096,0.636,2.014,14.099,0.916,
-0.761,0.097,0.646,1.77,12.512,-1.221,
-0.766,0.106,0.654,-2.747,10.864,-3.54,
-0.765,0.11,0.656,-10.437,8.423,-5.371,
-0.778,0.142,0.664,-21.912,5.432,-6.531,
-0.785,0.152,0.64,-23.804,3.052,-7.629,
-0.783,0.163,0.638,-28.259,0.977,-9.155,
-0.791,0.186,0.64,-35.278,-0.793,-10.437,
-0.793,0.196,0.633,-40.527,-2.258,-11.108,
-0.792,0.206,0.629,-42.48,-3.845,-11.719,
-0.779,0.204,0.607,-39.673,-4.822,-12.39,
-0.798,0.218,0.626,-41.504,-5.798,-13.123,
-0.788,0.256,0.609,-39.246,-6.226,-14.404,
-0.786,0.279,0.602,-35.095,-7.08,-15.198,
-0.785,0.3,0.598,-33.936,-7.812,-15.259,
-0.781,0.318,0.572,-34.485,-9.094,-15.137,
-0.763,0.324,0.549,-37.476,-10.742,-14.282,
-0.76,0.336,0.512,-39.734,-12.085,-13.672,
-0.765,0.349,0.474,-39.734,-12.634,-13,
-0.765,0.353,0.432,-37.659,-12.512,-12.268,
-0.776,0.357,0.406,-39.856,-12.024,-11.23,
-0.767,0.36,0.39,-41.992,-10.925,-10.254,
-0.765,0.377,0.372,-40.405,-9.399,-9.583,
-0.776,0.401,0.373,-40.71,-7.568,-9.155,
-0.78,0.413,0.367,-42.48,-5.676,-8.362,
-0.785,0.417,0.362,-47.974,-4.395,-7.141,
-0.786,0.413,0.345,-56.03,-3.418,-6.348,
-0.77,0.397,0.35,-64.392,-2.136,-5.981,
-0.752,0.438,0.371,-72.937,-0.305,-6.042,
-0.745,0.451,0.388,-71.655,1.587,-5.92,
-0.728,0.481,0.42,-66.65,3.845,-5.493,
-0.727,0.402,0.408,-65.002,5.249,-4.639,
-0.704,0.516,0.537,-88.318,5.554,-4.639,
-0.707,0.578,0.554,-85.51,5.249,-4.089,
-0.717,0.574,0.548,-57.129,4.639,-1.77,
-0.712,0.569,0.564,-36.255,5.188,0.427,
-0.713,0.555,0.567,-27.71,3.906,2.136,
-0.725,0.534,0.54,-23.254,2.075,3.967,
-0.73,0.522,0.53,-19.348,0.793,5.249,
-0.737,0.522,0.522,-17.883,-0.244,6.287,
-0.739,0.515,0.517,-14.893,-0.916,7.507,
-0.746,0.511,0.522,-11.353,-0.977,8.362,
-0.754,0.496,0.523,-6.409,-1.282,9.094,
-0.754,0.474,0.521,-1.038,-1.953,9.216,
-0.759,0.466,0.52,1.648,-2.808,9.338,
-0.759,0.463,0.516,4.333,-3.601,9.033,
-0.763,0.454,0.51,5.859,-4.028,9.277,
-0.767,0.444,0.501,5.432,-4.578,9.033,
-0.771,0.423,0.483,3.601,-5.554,8.911,
-0.776,0.411,0.456,0,-6.714,8.667,
-0.777,0.401,0.434,-5.31,-7.324,8.301,
-0.779,0.388,0.419,-9.583,-7.568,8.057,
-0.77,0.398,0.41,-10.742,-7.263,7.446,
-0.773,0.42,0.403,-9.399,-6.653,6.714,
-0.775,0.433,0.404,-5.371,-5.615,6.653,
-0.776,0.445,0.402,1.221,-4.517,6.714,
-0.774,0.447,0.38,10.01,-3.845,7.385,
-0.77,0.429,0.361,16.663,-3.235,7.996,
-0.777,0.422,0.356,17.7,-2.502,8.545,
-0.792,0.437,0.333,17.334,-1.77,8.972,
-0.79,0.409,0.291,20.508,-1.282,10.071,
-0.798,0.352,0.248,19.287,-0.305,11.597,
-0.785,0.294,0.223,12.817,0.916,11.963,
-0.731,0.224,0.196,4.456,2.747,10.925,
-0.823,0.265,0.211,-9.094,4.089,8.545,
-0.805,0.291,0.249,1.892,8.118,5.249,
-0.795,0.301,0.248,10.559,12.207,3.296,
-0.789,0.327,0.291,17.09,15.259,1.892,
-0.785,0.35,0.313,26.367,17.944,0.183,
-0.782,0.371,0.351,34.18,20.02,-0.977,
