aX,aY,aZ,gX,gY,gZ
-0.463,0.402,0.264,115.417,-4.333,-10.193
-0.467,0.413,0.180,95.276,-15.076,-15.930
-0.514,0.465,0.085,71.960,-24.780,-22.156
-0.577,0.538,-0.007,57.068,-32.227,-27.466
-0.581,0.602,-0.101,56.641,-36.438,-31.555
-0.643,0.622,-0.131,56.885,-39.368,-34.119
-0.641,0.627,-0.206,67.383,-41.016,-36.865
-0.507,0.626,-0.279,80.078,-41.138,-39.368
-0.447,0.655,-0.300,71.838,-40.100,-40.710
-0.463,0.683,-0.303,61.768,-38.330,-41.138
-0.494,0.678,-0.330,65.735,-36.499,-41.321
-0.485,0.677,-0.358,70.007,-33.875,-42.480
-0.510,0.737,-0.351,60.791,-31.616,-43.640
-0.534,0.792,-0.339,56.885,-29.053,-45.532
-0.538,0.855,-0.308,56.824,-26.978,-47.119
-0.536,0.910,-0.284,55.603,-25.391,-48.279
-0.534,0.920,-0.251,52.368,-24.780,-48.706
-0.530,0.905,-0.251,51.514,-24.963,-48.584
-0.494,0.887,-0.240,49.072,-25.818,-48.584
-0.474,0.864,-0.238,41.443,-25.940,-48.828
-0.463,0.860,-0.230,32.715,-26.611,-48.706
-0.430,0.798,-0.249,35.828,-26.306,-48.950
-0.355,0.841,-0.250,21.179,-26.794,-49.072
-0.336,0.856,-0.274,10.437,-27.771,-49.316
-0.419,0.861,-0.301,9.888,-27.344,-48.706
-0.451,0.847,-0.258,11.292,-25.574,-47.913
-0.360,0.923,-0.265,24.780,-23.071,-49.561
-0.362,1.011,-0.234,37.109,-21.057,-50.842
-0.360,1.166,-0.099,25.513,-21.851,-49.316
-0.381,1.267,-0.136,21.423,-22.583,-47.485
-0.457,1.282,-0.172,18.250,-23.315,-42.603
-0.517,1.278,-0.169,-4.578,-24.902,-35.645
-0.553,1.188,-0.238,-46.753,-26.733,-28.381
-0.536,1.207,-0.132,-124.817,-29.785,-19.836
-0.423,1.202,-0.111,-159.546,-32.715,-12.451
-0.317,1.281,-0.210,-136.292,-34.851,-7.568
-0.253,1.471,-0.315,-124.939,-39.307,1.282
-0.343,1.550,-0.489,-109.192,-41.199,14.160
-0.374,1.635,-0.636,-84.229,-37.231,27.954
-0.403,1.628,-0.706,-64.819,-29.785,42.480
-0.393,1.582,-0.758,-35.645,-20.325,56.702
-0.404,1.440,-0.756,-4.272,-9.216,70.190
-0.376,1.269,-0.698,14.832,0.671,81.848
-0.377,1.086,-0.646,26.855,8.362,90.820
-0.359,0.901,-0.604,27.649,13.611,95.215
-0.355,0.773,-0.584,23.499,16.357,94.910
-0.369,0.721,-0.620,19.348,19.470,91.125
-0.360,0.650,-0.632,5.310,21.423,85.693
-0.345,0.582,-0.641,0.610,24.719,79.529
-0.349,0.530,-0.690,-1.221,28.320,73.120
-0.341,0.523,-0.703,-10.498,33.142,66.772
-0.354,0.546,-0.636,-27.100,39.246,61.951
-0.392,0.553,-0.570,-37.231,44.312,57.983
-0.443,0.571,-0.498,-36.377,48.645,54.077
-0.473,0.546,-0.454,-29.602,51.758,51.270
-0.474,0.561,-0.399,-22.644,52.673,48.462
-0.487,0.544,-0.353,-12.939,54.443,45.593
-0.500,0.522,-0.305,-7.385,54.626,42.725
-0.500,0.483,-0.312,-5.615,53.894,40.588
-0.504,0.421,-0.305,-16.052,52.551,38.147
-0.496,0.362,-0.311,-28.748,51.453,34.668
-0.492,0.327,-0.332,-29.297,49.988,29.297
-0.497,0.294,-0.343,-21.729,49.805,22.949
-0.510,0.274,-0.340,-14.771,49.927,16.235
-0.527,0.282,-0.312,-9.521,50.659,9.399
-0.571,0.318,-0.250,-5.432,51.514,2.502
-0.570,0.326,-0.213,1.465,51.514,-3.235
-0.526,0.357,-0.163,-0.183,50.598,-8.362
-0.470,0.421,-0.117,-12.207,48.096,-14.160
-0.452,0.479,-0.094,-18.127,44.678,-19.653
-0.479,0.524,-0.108,-15.808,40.894,-24.170
-0.485,0.546,-0.135,-15.625,37.720,-27.771
-0.478,0.654,-0.153,-26.367,34.424,-31.677
-0.496,0.762,-0.139,-41.199,31.982,-34.607
-0.512,0.858,-0.182,-46.997,29.663,-35.217
-0.528,0.986,-0.214,-50.537,26.306,-33.325
-0.547,1.065,-0.261,-46.814,25.452,-30.518
-0.603,1.102,-0.316,-41.382,24.597,-25.085
-0.626,1.137,-0.340,-34.119,25.879,-18.982
-0.595,1.124,-0.348,-19.348,28.015,-12.268
-0.578,1.060,-0.354,-13.245,30.090,-5.798
-0.601,0.927,-0.325,-9.521,31.677,-0.183
-0.607,0.757,-0.281,-9.827,32.715,3.540
-0.569,0.600,-0.178,-10.681,33.569,4.395
